GA,50th,5th,95th
21.285714285714285,47.54181439401644,43.89527769962963,51.18835108840325
21.322931577440595,47.67727619134905,44.02558450293953,51.328967879758565
21.360148869166903,47.81255698910732,44.1557103066751,51.469403671539546
21.397366160893213,47.94765678729125,44.28565511083632,51.60965846374618
21.434583452619524,48.08257558590083,44.41541891542319,51.749732256378465
21.471800744345835,48.21731338493602,44.54500172043568,51.88962504943636
21.509018036072142,48.35187018439686,44.67440352587381,52.0293368429199
21.546235327798453,48.48624598428337,44.803624331737616,52.16886763682913
21.583452619524763,48.620440784595516,44.93266413802706,52.308217431163975
21.620669911251074,48.75445458533329,45.06152294474212,52.44738622592446
21.65788720297738,48.888287386496714,45.19020075188284,52.586374021110586
21.695104494703692,49.021939188085796,45.31869755944921,52.72518081672237
21.732321786430003,49.15540999010051,45.44701336744122,52.863806612759795
21.76953907815631,49.28869979254088,45.57514817585889,53.00225140922287
21.80675636988262,49.42180859540687,45.70310198470217,53.140515206111566
21.84397366160893,49.55473639869854,45.830874793971134,53.27859800342594
21.881190953335242,49.68748320241585,45.95846660366574,53.416499801165955
21.91840824506155,49.82004900655876,46.085877413785944,53.55422059933158
21.95562553678786,49.95243381112735,46.21310722433183,53.69176039792287
21.99284282851417,50.08463761612158,46.34015603530335,53.82911919693981
22.030060120240478,50.216660421541434,46.4670238467005,53.96629699638237
22.06727741196679,50.34850222738696,46.59371065852332,54.1032937962506
22.1044947036931,50.48016303365813,46.72021647077178,54.24010959654447
22.14171199541941,50.61164284035492,46.846541283445866,54.37674439726397
22.178929287145717,50.74294164747738,46.972685096545625,54.513198198409135
22.216146578872028,50.874059455025474,47.09864791007101,54.64947099997994
22.25336387059834,51.004996262999214,47.224429724022045,54.78556280197638
22.29058116232465,51.13575207139861,47.350030538398734,54.921473604398486
22.327798454050956,51.2663268802236,47.47545035320102,55.057203407246185
22.365015745777267,51.39672068947429,47.60068916842901,55.19275221051958
22.402233037503578,51.526933499150616,47.72574698408262,55.32812001421861
22.439450329229885,51.65696530925257,47.85062380016187,55.46330681834327
22.476667620956196,51.786816119780156,47.97531961666675,55.59831262289356
22.513884912682506,51.916485930733415,48.0998344335973,55.73313742786953
22.551102204408817,52.04597474211232,48.224168250953504,55.86778123327114
22.588319496135124,52.175282553916844,48.348321068735316,56.002244039098365
