GA,50th,5th,95th
21.285714285714285,8.661687055330471,7.194717011749413,10.128657098911528
21.322931577440595,8.693630074250176,7.227257490269809,10.160002658230544
21.360148869166903,8.725542386710167,7.25976726233049,10.191317511089844
21.397366160893213,8.757423992710457,7.292246327931471,10.222601657489443
21.434583452619524,8.78927489225104,7.324694687072744,10.253855097429335
21.471800744345835,8.821095085331919,7.3571123397543134,10.285077830909524
21.509018036072142,8.852884571953087,7.389499285976172,10.316269857930001
21.546235327798453,8.884643352114555,7.42185552573833,10.34743117849078
21.583452619524763,8.916371425816312,7.454181059040778,10.378561792591846
21.620669911251074,8.948068793058368,7.486475885883525,10.409661700233212
21.65788720297738,8.97973545384071,7.518740006266558,10.440730901414863
21.695104494703692,9.011371408163352,7.55097342018989,10.471769396136814
21.732321786430003,9.042976656026287,7.583176127653515,10.502777184399058
21.76953907815631,9.074551197429514,7.615348128657433,10.533754266201594
21.80675636988262,9.106095032373034,7.647489423201643,10.564700641544423
21.84397366160893,9.137608160856853,7.679600011286153,10.595616310427554
21.881190953335242,9.169090582880962,7.7116798929109525,10.626501272850971
21.91840824506155,9.200542298445367,7.743729068076048,10.657355528814685
21.95562553678786,9.231963307550064,7.775747536781435,10.688179078318692
21.99284282851417,9.263353610195058,7.80773529902712,10.718971921362995
22.030060120240478,9.29471320638034,7.839692354813092,10.749734057947586
22.06727741196679,9.326042096105915,7.871618704139358,10.780465488072473
22.1044947036931,9.357340279371794,7.9035143470059275,10.81116621173766
22.14171199541941,9.388607756177962,7.935379283412786,10.841836228943137
22.178929287145717,9.419844526524422,7.967213513359936,10.872475539688907
22.216146578872028,9.451050590411175,7.99901703684738,10.903084143974969
22.25336387059834,9.482225947838227,8.030789853875124,10.93366204180133
22.29058116232465,9.513370598805569,8.062531964443155,10.964209233167981
22.327798454050956,9.544484543313207,8.094243368551483,10.99472571807493
22.365015745777267,9.575567781361137,8.125924066200104,11.02521149652217
22.402233037503578,9.606620312949364,8.157574057389022,11.055666568509706
22.439450329229885,9.63764213807788,8.189193342118228,11.08609093403753
22.476667620956196,9.668633256746695,8.220781920387733,11.116484593105655
22.513884912682506,9.6995936689558,8.252339792197528,11.146847545714069
22.551102204408817,9.730523374705204,8.283866957547623,11.177179791862782
22.588319496135124,9.761422373994893,8.315363416438004,11.207481331551783
22.625536787861435,9.792290666824886,8.346829168868688,11.237752164781085
22.662754079587746,9.823128253195165,8.378264214839657,11.267992291550673
22.699971371314057,9.85393513310574,8.409668554350922,11.298201711860557
22.737188663040364,9.88471130655661,8.441042187402484,11.328380425710737
22.774405954766674,9.915456773547778,8.472385113994342,11.358528433101213
22.811623246492985,9.946171534079234,8.503697334126487,11.388645734031979
22.848840538219292,9.976855588150986,8.53497884779893,11.418732328503042
22.886057829945603,10.007508935763031,8.566229655011666,11.448788216514396
22.923275121671914,10.038131576915376,8.597449755764702,11.47881339806605
22.960492413398224,10.068723511608006,8.628639150058023,11.50880787315799
22.99770970512453,10.099284739840929,8.659797837891634,11.538771641790222
23.034926996850842,10.129815261614155,8.690925819265551,11.568704703962757
23.072144288577153,10.160315076927674,8.722023094179761,11.598607059675587
23.109361580303464,10.190784185781482,8.75308966263426,11.628478708928704
23.14657887202977,10.221222588175578,8.784125524629047,11.65831965172211
23.18379616375608,10.251630284109979,8.815130680164138,11.688129888055819
23.221013455482392,10.282007273584668,8.846105129239518,11.717909417929818
23.2582307472087,10.312353556599653,8.877048871855195,11.747658241344112
23.29544803893501,10.342669133154931,8.907961908011162,11.7773763582987
23.33266533066132,10.37295400325051,8.93884423770743,11.807063768793586
23.36988262238763,10.403208166886373,8.969695860943984,11.83672047282876
23.40709991411394,10.433431624062536,9.000516777720838,11.866346470404233
23.44431720584025,10.463624374778988,9.031306988037981,11.895941761519994
23.48153449756656,10.49378641903574,9.062066491895424,11.925506346176055
23.51875178929287,10.52391775683278,9.092795289293154,11.955040224372405
23.555969081019178,10.554018388170118,9.123493380231182,11.984543396109052
23.59318637274549,10.584088313047747,9.154160764709502,12.014015861385992
23.6304036644718,10.614127531465673,9.184797442728119,12.043457620203228
23.667620956198107,10.644136043423885,9.215403414287021,12.072868672560748
23.704838247924418,10.674113848922403,9.24597867938623,12.102249018458576
23.74205553965073,10.704060947961207,9.276523238025725,12.131598657896689
23.779272831377035,10.733977340540306,9.307037090205514,12.160917590875098
23.816490123103346,10.763863026659699,9.337520235925597,12.1902058173938
23.853707414829657,10.793718006319391,9.36797267518598,12.219463337452803
23.890924706555968,10.82354227951937,9.398394407986649,12.24869015105209
23.92814199828228,10.853335846259643,9.428785434327613,12.277886258191673
23.965359290008585,10.883098706540213,9.459145754208874,12.307051658871552
24.002576581734896,10.91283086036108,9.48947536763043,12.336186353091728
24.039793873461207,10.942532307722235,9.519774274592276,12.365290340852193
24.077011165187514,10.972203048623683,9.550042475094415,12.394363622152952
24.114228456913825,11.001843083065431,9.580279969136853,12.423406196994009
24.151445748640135,11.031452411047475,9.610486756719588,12.452418065375362
24.188663040366443,11.061031032569801,9.640662837842605,12.481399227296997
24.225880332092753,11.090578947632427,9.670808212505921,12.510349682758932
24.263097623819064,11.120096156235352,9.700922880709538,12.539269431761166
24.300314915545375,11.149582658378566,9.731006842453441,12.56815847430369
24.337532207271682,11.179038454062074,9.761060097737639,12.597016810386506
24.374749498997993,11.208463543285877,9.791082646562133,12.62584444000962
24.411966790724303,11.237857926049976,9.821074488926923,12.65464136317303
24.449184082450614,11.267221602354365,9.851035624832003,12.683407579876727
24.48640137417692,11.29655457219905,9.880966054277378,12.71214309012072
