GA,50th,5th,95th
21.285714285714285,53.25644859508506,50.63524526435859,55.877651925811534
21.322931577440595,53.42858848681195,50.802017794395,56.055159179228895
21.360148869166903,53.600450792520064,50.96851273841265,56.23238884662748
21.397366160893213,53.77203551220941,51.13473009641152,56.4093409280073
21.434583452619524,53.943342645879994,51.30066986839163,56.58601542336836
21.471800744345835,54.114372193531835,51.466332054352996,56.76241233271067
21.509018036072142,54.28512415516488,51.63171665429557,56.938531656034186
21.546235327798453,54.455598530779184,51.7968236682194,57.114373393338965
21.583452619524763,54.62579532037475,51.96165309612449,57.289937544625005
21.620669911251074,54.79571452395149,52.12620493801076,57.46522410989221
21.65788720297738,54.96535614150952,52.29047919387832,57.640233089140715
21.695104494703692,55.13472017304875,52.454475863727076,57.81496448237042
21.732321786430003,55.30380661856924,52.61819494755709,57.98941828958138
21.76953907815631,55.47261547807096,52.78163644536835,58.16359451077358
21.80675636988262,55.64114675155392,52.94480035716083,58.33749314594701
21.84397366160893,55.809400439018106,53.10768668293454,58.51111419510167
21.881190953335242,55.977376540463524,53.270295422689486,58.684457658237555
21.91840824506155,56.1450750558902,53.4326265764257,58.85752353535471
21.95562553678786,56.312495985298085,53.594680144143105,59.030311826453065
21.99284282851417,56.47963932868723,53.75645612584177,59.20282253153268
22.030060120240478,56.64650508605757,53.91795452152165,59.375055650593495
22.06727741196679,56.81309325740921,54.07917533118281,59.547011183635604
22.1044947036931,56.979403842742045,54.24011855482517,59.718689130658916
22.14171199541941,57.14543684205614,54.400784192448796,59.89008949166348
22.178929287145717,57.31119225535144,54.56117224405363,60.06121226664926
22.216146578872028,57.476670082627976,54.72128270963969,60.232057455616264
22.25336387059834,57.6418703238858,54.881115589207035,60.40262505856456
22.29058116232465,57.80679297912482,55.04067088275559,60.57291507549405
22.327798454050956,57.97143804834505,55.199948590285345,60.742927506404754
22.365015745777267,58.135805531546595,55.358948711796415,60.912662351296774
22.402233037503578,58.299895428729286,55.51767124728863,61.08211961016993
22.439450329229885,58.463707739893266,55.676116196762145,61.25129928302439
22.476667620956196,58.62724246503848,55.83428356021688,61.420201369860074
22.513884912682506,58.79049960416492,55.99217333765285,61.58882587067699
22.551102204408817,58.953479157272625,56.14978552907009,61.75717278547516
22.588319496135124,59.1161811243615,56.30712013446849,61.925242114254516
22.625536787861435,59.27860550543167,56.46417715384818,62.09303385701516
22.662754079587746,59.44075230048307,56.62095658720911,62.26054801375703
22.699971371314057,59.6026215095157,56.77745843455127,62.42778458448013
22.737188663040364,59.764213132529534,56.93368269587463,62.59474356918444
22.774405954766674,59.925527169524656,57.08962937117928,62.761424967870035
22.811623246492985,60.08656362050098,57.24529846046513,62.92782878053683
22.848840538219292,60.24732248545854,57.40068996373222,63.09395500718486
22.886057829945603,60.40780376439736,57.55580388098056,63.25980364781415
22.923275121671914,60.56800745731741,57.71064021221014,63.425374702424676
22.960492413398224,60.72793356421869,57.86519895742095,63.590668171016425
22.99770970512453,60.88758208510117,58.01948011661296,63.755684053589384
23.034926996850842,61.046953019964945,58.17348368978626,63.92042235014363
23.072144288577153,61.20604636880995,58.32720967694079,64.0848830606791
23.109361580303464,61.36486213163616,58.48065807807653,64.24906618519579
23.14657887202977,61.52340030844363,58.633828893193524,64.41297172369373
23.18379616375608,61.6816608992323,58.78672212229172,64.57659967617288
23.221013455482392,61.83964390400226,58.93933776537121,64.73995004263331
23.2582307472087,61.997349322753394,59.091675822431874,64.9030228230749
23.29544803893501,62.15477715548582,59.24373629347382,65.0658180174978
23.33266533066132,62.31192740219947,59.395519178497004,65.22833562590193
23.36988262238763,62.46880006289433,59.547024477501395,65.39057564828727
23.40709991411394,62.62539513757045,59.69825219048704,65.55253808465386
23.44431720584025,62.78171262622783,59.849202317453944,65.71422293500171
23.48153449756656,62.93775252886638,59.99987485840202,65.87563019933074
23.51875178929287,63.093514845486226,60.1502698133314,66.03675987764106
23.555969081019178,63.24899957608727,60.30038718224197,66.19761196993257
23.59318637274549,63.40420672066958,60.4502269651338,66.35818647620535
23.6304036644718,63.559136279233115,60.59978916200687,66.51848339645936
23.667620956198107,63.713788251777885,60.749073772861166,66.6785027306946
23.704838247924418,63.868162638303886,60.89808079769669,66.83824447891108
23.74205553965073,64.02225943881112,61.04681023651345,66.99770864110879
23.779272831377035,64.17607865329958,61.19526208931145,67.15689521728773
23.816490123103346,64.32962028176931,61.3434363560907,67.31580420744791
23.853707414829657,64.48288432422027,61.49133303685118,67.47443561158934
23.890924706555968,64.63587078065245,61.6389521315929,67.632789429712
23.92814199828228,64.78857965106587,61.78629364031585,67.7908656618159
23.965359290008585,64.94101093546053,61.933357563020024,67.94866430790103
24.002576581734896,65.09316463383644,62.08014389970546,68.10618536796741
24.039793873461207,65.24504074619355,62.22665265037211,68.263428842015
24.077011165187514,65.3966392725319,62.37288381501998,68.42039473004381
24.114228456913825,65.54796021285154,62.51883739364914,68.57708303205392
24.151445748640135,65.69900356715235,62.664513386259486,68.7334937480452
24.188663040366443,65.84976933543444,62.80991179285111,68.88962687801778
24.225880332092753,66.00025751769778,62.95503261342397,69.04548242197158
24.263097623819064,66.15046811394231,63.099875847978026,69.2010603799066
24.300314915545375,66.3004011241681,63.24444149651335,69.35636075182286
24.337532207271682,66.4500565483751,63.388729559029876,69.51138353772032
24.374749498997993,66.59943438656336,63.53274003552766,69.66612873759905
24.411966790724303,66.74853463873288,63.6764729260067,69.82059635145905
24.449184082450614,66.8973573048836,63.81992823046696,69.97478637930024
24.48640137417692,67.04590238501555,63.963105948908435,70.12869882112267
24.523618665903232,67.19416987912876,64.10600608133117,70.28233367692636
24.560835957629543,67.34215978722321,64.24862862773514,70.43569094671128
24.59805324935585,67.48987210929889,64.39097358812035,70.58877063047741
24.63527054108216,67.6373068453558,64.5330409624868,70.7415727282248
24.67248783280847,67.78446399539396,64.67483075083449,70.89409723995344
24.709705124534782,67.93134355941334,64.81634295316339,71.04634416566329
24.74692241626109,68.07794553741394,64.95757756947351,71.19831350535436
24.7841397079874,68.22426992939583,65.09853459976493,71.35000525902673
24.82135699971371,68.37031673535893,65.23921404403755,71.5014194266803
24.85857429144002,68.51608595530325,65.3796159022914,71.6525560083151
24.89579158316633,68.66157758922881,65.5197401745265,71.80341500393112
24.93300887489264,68.8067916371356,65.65958686074282,71.95399641352839
24.97022616661895,68.95172809902365,65.7991559609404,72.10430023710691
25.007443458345257,69.09638697489294,65.9384474751192,72.25432647466667
25.044660750071568,69.24076826474342,66.07746140327922,72.40407512620763
25.08187804179788,69.3848719685752,66.21619774542052,72.55354619172988
25.11909533352419,69.52869808638815,66.35465650154299,72.7027396712333
25.156312625250496,69.67224661818238,66.49283767164677,72.851655564718
25.193529916976807,69.81551756395785,66.63074125573176,73.00029387218395
25.230747208703118,69.95851092371453,66.76836725379796,73.1486545936311
25.26796450042943,70.10122669745249,66.90571566584545,73.29673772905953
25.305181792155736,70.24366488517163,67.04278649187411,73.44454327846914
25.342399083882047,70.38582548687202,67.17957973188403,73.59207124186001
25.379616375608357,70.52770850255368,67.31609538587522,73.73932161923214
25.416833667334664,70.66931393221654,67.45233345384761,73.88629441058546
25.454050959060975,70.81064177586066,67.58829393580126,74.03298961592006
25.491268250787286,70.95169203348601,67.72397683173614,74.17940723523589
25.528485542513593,71.09246470509257,67.85938214165222,74.32554726853292
25.565702834239904,71.23295979068041,67.99450986554959,74.47140971581123
25.602920125966214,71.37317729024946,68.12936000342816,74.61699457707076
25.640137417692525,71.51311720379977,68.263932555288,74.76230185231154
25.677354709418836,71.65277953133128,68.39822752112903,74.90733154153351
25.714572001145143,71.79216427284405,68.53224490095134,75.05208364473675
25.751789292871454,71.93127142833805,68.66598469475487,75.19655816192123
25.789006584597765,72.07010099781328,68.79944690253963,75.34075509308694
25.82622387632407,72.20865298126975,68.93263152430562,75.48467443823388
25.863441168050382,72.34692737870748,69.06553856005287,75.62831619736208
25.900658459776693,72.4849241901264,69.19816800978133,75.77168037047149
25.937875751503,72.6226434155266,69.33051987349104,75.91476695756214
25.97509304322931,72.76008505490805,69.46259415118203,76.05757595863406
26.01231033495562,72.89724910827067,69.59439084285418,76.20010737368716
26.049527626681932,73.03413557561458,69.72590994850762,76.34236120272155
26.086744918408243,73.1707444569397,69.85715146814226,76.48433744573714
26.12396221013455,73.30707575224605,69.98811540175814,76.62603610273396
26.16117950186086,73.44312946153369,70.1188017493553,76.76745717371207
26.19839679358717,73.5789055848025,70.24921051093364,76.90860065867136
26.23561408531348,73.71440412205257,70.37934168649325,77.0494665576119
26.27283137703979,73.84962507328387,70.50919527603408,77.19005487053367
26.3100486687661,73.98456843849644,70.63877127955617,77.33036559743671
26.347265960492408,74.1192342176902,70.76806969705946,77.47039873832095
26.38448325221872,74.25362241086523,70.89709052854401,77.61015429318645
26.42170054394503,74.38773301802149,71.0258337740098,77.74963226203319
26.45891783567134,74.52156603915898,71.15429943345681,77.88883264486114
26.49613512739765,74.6551214742777,71.28248750688508,78.02775544167034
26.533352419123958,74.78839932337766,71.41039799429456,78.16640065246077
26.57056971085027,74.92139958645888,71.5380308956853,78.30476827723245
26.60778700257658,75.05412226352132,71.66538621105727,78.44285831598538
26.645004294302886,75.18656735456497,71.79246394041044,78.5806707687195
26.682221586029197,75.31873485958988,71.91926408374488,78.71820563543488
26.719438877755508,75.45062477859605,72.04578664106057,78.85546291613153
26.756656169481815,75.58223711158342,72.17203161235749,78.99244261080936
26.793873461208126,75.71357185855203,72.29799899763562,79.12914471946844
26.831090752934436,75.8446290195019,72.42368879689501,79.26556924210878
26.868308044660747,75.97540859443296,72.5491010101356,79.40171617873033
26.905525336387058,76.10591058334532,72.67423563735748,79.53758552933316
26.942742628113365,76.23613498623888,72.79909267856057,79.67317729391719
26.979959919839676,76.36608180311364,72.92367213374486,79.80849147248243
27.017177211565986,76.49575103396973,73.04797400291046,79.94352806502897
27.054394503292293,76.62514267880695,73.17199828605723,80.07828707155667
27.091611795018604,76.75425673762547,73.29574498318527,80.21276849206566
27.128829086744915,76.88309321042524,73.41921409429457,80.34697232655591
27.166046378471222,77.0116520972062,73.54240561938505,80.48089857502734
27.203263670197533,77.1399333979684,73.66531955845679,80.61454723748002
27.240480961923843,77.26793711271188,73.78795591150978,80.74791831391397
27.277698253650154,77.39566324143655,73.91031467854398,80.8810118043291
27.314915545376465,77.52311178414251,74.03239585955949,81.01382770872554
27.352132837102772,77.65028274082965,74.15419945455615,81.14636602710316
27.389350128829083,77.77717611149805,74.27572546353407,81.27862675946203
27.426567420555394,77.90379189614768,74.39697388649323,81.41060990580213
27.4637847122817,78.03013009477854,74.51794472343362,81.54231546612347
27.50100200400801,78.15619070739066,74.63863797435526,81.67374344042607
27.538219295734322,78.28197373398402,74.75905363925814,81.80489382870988
27.57543658746063,78.40747917455857,74.87919171814224,81.93576663097491
27.61265387918694,78.53270702911442,74.99905221100761,82.06636184722123
27.64987117091325,78.65765729765144,75.11863511785415,82.19667947744873
27.68708846263956,78.78232998016975,75.23794043868199,82.32671952165751
27.72430575436587,78.90672507666929,75.35696817349105,82.45648197984752
27.76152304609218,79.03084258715003,75.47571832228132,82.58596685201874
27.79874033781849,79.15468251161204,75.59419088505285,82.71517413817122
27.8359576295448,79.27824485005524,75.7123858618056,82.84410383830489
27.873174921271108,79.40152960247974,75.83030325253962,82.97275595241986
27.91039221299742,79.52453676888547,75.94794305725488,83.10113048051606
27.94760950472373,79.64726634927237,76.0653052759513,83.22922742259344
27.984826796450037,79.76971834364056,76.18238990862902,83.3570467786521
28.022044088176347,79.89189275198999,76.29919695528797,83.484588548692
28.059261379902658,80.01378957432064,76.41572641592815,83.61185273271313
28.096478671628965,80.13540881063253,76.53197829054957,83.73883933071548
28.133695963355276,80.25675046092564,76.64795257915222,83.86554834269907
28.170913255081587,80.3778145252,76.7636492817361,83.9919797686639
28.208130546807897,80.4986010034556,76.87906839830123,84.11813360860998
28.245347838534208,80.61910989569245,76.9942099288476,84.2440098625373
28.282565130260515,80.73934120191052,77.1090738733752,84.36960853044584
28.319782421986826,80.85929492210983,77.22366023188403,84.49492961233562
28.356999713713137,80.97897105629036,77.3379690043741,84.61997310820662
28.394217005439444,81.09836960445213,77.4520001908454,84.74473901805887
28.431434297165755,81.21749056659513,77.56575379129792,84.86922734189234
28.468651588892065,81.33633394271942,77.67922980573174,84.9934380797071
28.505868880618372,81.45489973282491,77.79242823414675,85.11737123150307
28.543086172344683,81.57318793691161,77.90534907654298,85.24102679728024
28.580303464070994,81.6911985549796,78.01799233292049,85.3644047770387
28.617520755797305,81.80893158702875,78.13035800327918,85.48750517077832
28.654738047523615,81.92638703305923,78.24244608761919,85.61032797849927
28.691955339249922,82.04356489307088,78.35425658594036,85.7328732002014
28.729172630976233,82.16046516706376,78.46578949824277,85.85514083588475
28.766389922702544,82.27708785503793,78.57704482452647,85.9771308855494
28.80360721442885,82.39343295699328,78.68802256479134,86.09884334919522
28.840824506155162,82.50950047292991,78.7987227190375,86.22027822682233
28.878041797881473,82.62529040284778,78.90914528726489,86.34143551843066
28.91525908960778,82.74080274674685,79.0192902694735,86.4623152240202
28.95247638133409,82.85603750462718,79.12915766566336,86.582917343591
